entity_id,type,label,article_id,source_extraction_id,supporting_quote
ent_place_lawrence,Place,"Lawrence, Massachusetts",art001,ext004,"Disorders before the gate of the great textile mills of Lawrence"
ent_org_mills,Organization,Lawrence textile mills,art001,ext002,"seven of the big plants were shut down"
ent_org_militia,Organization,State militia,art001,ext006,"two companies of militia were called from the armory to assist the police"
ent_org_police,Organization,Lawrence police,art001,ext006,"to assist the police in controlling the turbulent foreign operatives"
ent_org_congress,Organization,United States Congress,art004,ext013,"resolution for an immediate congressional investigation of the charges"
ent_org_houserules,Organization,House Rules Committee,art004,ext014,"will be held by the House Rules Committee Saturday"
ent_org_court,Organization,District court (Lawrence),art005,ext017,"the district court was in session far into the evening"
ent_person_haywood,Person,William D. Haywood,art008,ext023,"'It is the greatest victory ever won by labor in this country,' declared Haywood"
ent_event_riot,Event,Mob attack on the mills,art001,ext005,"when a mob stormed several of the mills and injured employees and property"
ent_event_bayonet,Event,Militia bayonet charge,art001,ext007,"ordered the militiamen to charge with bayonets"
ent_event_investigation,Event,Congressional investigation of the strike,art004,ext013,"resolution for an immediate congressional investigation of the charges"
ent_event_hearing,Event,House Rules Committee hearings,art006,ext018,"The House committee on rules will have a hearing on Saturday"
ent_event_settlement,Event,Strike settlement / wage increase,art008,ext022,"the strike against certain of the mills be declared off because of the wage increases granted"
