extraction_id,article_id,issue_id,date,newspaper,context_Z,role_in_dag,label,claim_type,polarity,confidence,raw_ocr_quote,corrected_quote,verification_status,notes
ext001,art001,iss001,1912-01-15,The Evening Standard,order_focused,X,protest pressure (scale),text-supported,positive,0.95,"nearly 30,000 nands are ld)e, holf of whom are ac- tually on strike","nearly 30,000 hands are idle, half of whom are actually on strike",verified,Strike framed as massive social pressure (tens of thousands idle).
ext002,art001,iss001,1912-01-15,The Evening Standard,order_focused,X,protest pressure (mills shut),text-supported,positive,0.9,seven of the i l big plants were Bhut down,seven of the big plants were shut down,verified,Mills shut down -> pressure on production/order.
ext003,art001,iss001,1912-01-15,The Evening Standard,order_focused,M1,"demand-legitimacy context (wage cut, women/children law)",text-supported,positive,0.7,"are due to a general reduction in wages necessitated ... by a cut in the working time from 56 to 5-14 hours a week, by a new state law governing establlshments where women and children a.re employed","[the trouble is] due to a general reduction in wages ... by a cut in the working time from 56 to 54 hours a week, by a new state law governing establishments where women and children are employed",verified,Grievance basis (wage reduction tied to the women/children hours law) -> demand legitimacy.
ext004,art001,iss001,1912-01-15,The Evening Standard,order_focused,M2,disorder framing,text-supported,positive,0.95,Disorders before the gato of the great textile mills of Lawrence became so frequent and menacing,Disorders before the gate of the great textile mills of Lawrence became so frequent and menacing,verified,Explicit disorder/menace framing.
ext005,art001,iss001,1912-01-15,The Evening Standard,order_focused,M2,mob/violence framing,text-supported,positive,0.9,when a mob stormed several 'of the mills and Injured employes and prop- erty,when a mob stormed several of the mills and injured employees and property,verified,Mob/violence framing.
ext006,art001,iss001,1912-01-15,The Evening Standard,order_focused,Y2,militia/police order-control,text-supported,positive,0.95,two companies of militia were called from the armory to assist the police in controlling the turbulent foreign operatives,two companies of militia were called from the armory to assist the police in controlling the turbulent foreign operatives,verified,Order-control response: militia called to control operatives.
ext007,art001,iss001,1912-01-15,The Evening Standard,order_focused,Y2,bayonet charge,text-supported,positive,0.9,ordered the militiamen to charge with bqyonets,ordered the militiamen to charge with bayonets,verified,Coercive order-control.
ext008,art001,iss001,1912-01-15,The Evening Standard,order_focused,X_cause,wage-cut asserted as cause of trouble,asserted-causation,positive,0.85,The trouble ... are due to a general reduction in wages,The trouble ... [is] due to a general reduction in wages,verified,"ASSERTED CAUSATION by the newspaper: wage reduction -> trouble. Recorded as actor-asserted, not analyst structure."
ext009,art003,iss002,1912-01-22,Daily Kennebec Journal,mixed,M1,demand legitimacy (better wages),text-supported,positive,0.7,"the strike, by his people for better wages",[the strike] by his people for better wages,verified,Demand framed as a claim for better wages.
ext010,art003,iss002,1912-01-22,Daily Kennebec Journal,mixed,Y1,investigation called for,text-supported,positive,0.75,calling for an Investigation of the,calling for an investigation of the [strike],verified,Institutional/improvement response: investigation is requested.
ext011,art002,iss002,1912-01-22,Daily Kennebec Journal,mixed,Y2,order-restoration (quiet),text-supported,positive,0.65,Sunday in the City Passes Very Quietly,Sunday in the city passes very quietly,verified,Order-restoration framing (calm/quiet).
ext012,art002,iss002,1912-01-22,Daily Kennebec Journal,mixed,X,strike salience (headline),text-supported,positive,0.9,THE LAWRENCE STRIKE,The Lawrence Strike,verified,Front-page salience of the strike.
ext013,art004,iss004,1912-02-27,The Washington Times,institutional,Y1,congressional investigation resolution,text-supported,positive,0.85,resolution for an immediate Congressional Investigation of tho charges,resolution for an immediate congressional investigation of the charges,verified,Institutional improvement response: congressional investigation.
ext014,art004,iss004,1912-02-27,The Washington Times,institutional,Y1,House Rules Committee hearings,text-supported,positive,0.8,"hearings on the- an Investigation, will beheld by tho House RuliJ Committee Surft-duji","hearings on ... an investigation, will be held by the House Rules Committee Saturday",verified,Congressional hearings = improvement-oriented institutional reaction.
ext015,art005,iss005,1912-02-27,Daily Kennebec Journal,mixed,M2,disorder framing (ambush/shots),text-supported,positive,0.9,Striker Wounded-Disorder Reigns In Early Morning ... Dozen Shots Fired at Police,Striker wounded - disorder reigns in early morning ... Dozen shots fired at police,verified,Disorder framing in headline.
ext016,art005,iss005,1912-02-27,Daily Kennebec Journal,mixed,Y1,congressional investigation pending,text-supported,positive,0.85,"Fending a congressional investigation, which is expected to start, some day tins week, in Washington","Pending a congressional investigation, which is expected to start some day this week in Washington",verified,Improvement/institutional response pending.
ext017,art005,iss005,1912-02-27,Daily Kennebec Journal,mixed,Y2,arrests/court (order control),text-supported,positive,0.8,"the district court was ip session far into the evening ... persons arrested, today",the district court was in session far into the evening ... persons arrested today,verified,Arrests and court action = order-control response.
ext018,art006,iss006,1912-02-28,Daily Kennebec Journal,mixed,Y1,House committee hearing,text-supported,positive,0.85,"The House committee on rules will have a hearing, on Saturday, on the",The House committee on rules will have a hearing on Saturday on the [Lawrence strike],verified,'INVESTIGATION BY CONGRESS' -> improvement/institutional response.
ext019,art007,iss007,1912-03-08,Daily Kennebec Journal,mixed,M1,child-labor/wage legitimacy (hearing),text-supported,positive,0.6,Are you in sympathy with child labor? Do you believe children should take the place of men?,Are you in sympathy with child labor? Do you believe children should take the place of men?,verified,Hearing surfaces child-labor/wage grievance -> demand legitimacy.
ext020,art007,iss007,1912-03-08,Daily Kennebec Journal,mixed,M2,attacks on houses (disorder),text-supported,positive,0.8,"attacks upon the houses ,.f people who ... refused to strike. Their doors have been broken down, windows broken, missiles have been thrown","attacks upon the houses of people who ... refused to strike. Their doors have been broken down, windows broken, missiles have been thrown",verified,Disorder framing (testimony of violence).
ext021,art007,iss007,1912-03-08,Daily Kennebec Journal,mixed,Y1,committee examines conditions/wages,text-supported,positive,0.8,wages compared approximately with the amounts related by the employes,[committee examined pay sheets;] wages compared approximately with the amounts related by the employees,verified,'INVESTIGATION TO COME' -> institutional investigation of conditions/wages.
ext022,art008,iss008,1912-03-15,Daily Kennebec Journal,mixed,Y1,strike declared off on wage increases,text-supported,positive,0.9,voted to recommend that the strike against certain of the mills be declared off because of the wage increases granted,voted to recommend that the strike against certain of the mills be declared off because of the wage increases granted,verified,Settlement / wage increase = development-oriented improvement response.
ext023,art008,iss008,1912-03-15,Daily Kennebec Journal,mixed,Y1,victory framing,text-supported,positive,0.8,"It is the greatest victory ever won by labor in this country, declared Haywood","'It is the greatest victory ever won by labor in this country,' declared Haywood",verified,Improvement framed as labor victory.
ext024,art008,iss008,1912-03-15,Daily Kennebec Journal,mixed,Y1,wage increases granted,text-supported,positive,0.85,have nearly all grant ed increases in wages,have nearly all granted increases in wages,verified,Wage increases granted by mills = improvement response.
ext025,art008,iss008,1912-03-15,Daily Kennebec Journal,mixed,Y2,rioting asserted as cause of militia,asserted-causation,positive,0.75,"the rioting occurred, resulting in. the calling out of the militia","the rioting occurred, resulting in the calling out of the militia",verified,ASSERTED CAUSATION (retrospective): rioting -> militia call-out.
ext026,analyst001,iss999,1912-01-15/1912-03-15,Analyst-added,NA,Z,contextual confounders,analyst-added,neutral,1.0,,"Not a textual claim. Newspaper orientation/locale, prior labor context, industrial interest, and actual disorder level can affect both protest-pressure framing and which response is emphasized.",analyst model assumption,Z is added by the analyst; operationalized here as newspaper context (order_focused / mixed / institutional).
